DATE,SHIFT,ROUTE,TOTAL
23,OUT 6PM,Alabang,0
23,OUT 6PM,Binan,0
23,OUT 6PM,Carmona,0
23,OUT 6PM,Balibago,0
23,OUT 6PM,Tagapo,0
23,OUT 6PM,Cabuyao,0
23,OUT 6PM,Calamba,0
23,IN 7PM,Alabang,0
23,IN 7PM,Binan,0
23,IN 7PM,Carmona,0
23,IN 7PM,Balibago,0
23,IN 7PM,Tagapo,0
23,IN 7PM,Cabuyao,0
23,IN 7PM,Calamba,0
23,OUT 7PM,Alabang,0
23,OUT 7PM,Binan,0
23,OUT 7PM,Carmona,0
23,OUT 7PM,Balibago,0
23,OUT 7PM,Tagapo,0
23,OUT 7PM,Cabuyao,0
23,OUT 7PM,Calamba,0
23,IN 10PM,Alabang,0
23,IN 10PM,Binan,0
23,IN 10PM,Carmona,0
23,IN 10PM,Balibago,0
23,IN 10PM,Tagapo,0
23,IN 10PM,Cabuyao,0
23,IN 10PM,Calamba,0
24,OUT 4AM,Alabang,0
24,OUT 4AM,Binan,0
24,OUT 4AM,Carmona,0
24,OUT 4AM,Balibago,0
24,OUT 4AM,Tagapo,0
24,OUT 4AM,Cabuyao,0
24,OUT 4AM,Calamba,0
24,IN 7AM,Alabang,0
24,IN 7AM,Binan,0
24,IN 7AM,Carmona,0
24,IN 7AM,Balibago,0
24,IN 7AM,Tagapo,0
24,IN 7AM,Cabuyao,0
24,IN 7AM,Calamba,0
24,OUT 7AM,Alabang,0
24,OUT 7AM,Binan,0
24,OUT 7AM,Carmona,0
24,OUT 7AM,Balibago,0
24,OUT 7AM,Tagapo,0
24,OUT 7AM,Cabuyao,0
24,OUT 7AM,Calamba,0
24,OUT 4PM,Alabang,0
24,OUT 4PM,Binan,0
24,OUT 4PM,Carmona,0
24,OUT 4PM,Balibago,0
24,OUT 4PM,Tagapo,0
24,OUT 4PM,Cabuyao,0
24,OUT 4PM,Calamba,0
24,OUT 6PM,Alabang,0
24,OUT 6PM,Binan,0
24,OUT 6PM,Carmona,0
24,OUT 6PM,Balibago,0
24,OUT 6PM,Tagapo,0
24,OUT 6PM,Cabuyao,0
24,OUT 6PM,Calamba,0
24,IN 7PM,Alabang,0
24,IN 7PM,Binan,0
24,IN 7PM,Carmona,0
24,IN 7PM,Balibago,0
24,IN 7PM,Tagapo,0
24,IN 7PM,Cabuyao,0
24,IN 7PM,Calamba,0
24,OUT 7PM,Alabang,0
24,OUT 7PM,Binan,0
24,OUT 7PM,Carmona,0
24,OUT 7PM,Balibago,0
24,OUT 7PM,Tagapo,0
24,OUT 7PM,Cabuyao,0
24,OUT 7PM,Calamba,0
24,IN 10PM,Alabang,0
24,IN 10PM,Binan,0
24,IN 10PM,Carmona,0
24,IN 10PM,Balibago,0
24,IN 10PM,Tagapo,0
24,IN 10PM,Cabuyao,0
24,IN 10PM,Calamba,0
25,OUT 4AM,Alabang,0
25,OUT 4AM,Binan,0
25,OUT 4AM,Carmona,0
25,OUT 4AM,Balibago,0
25,OUT 4AM,Tagapo,0
25,OUT 4AM,Cabuyao,0
25,OUT 4AM,Calamba,0
25,IN 7AM,Alabang,0
25,IN 7AM,Binan,0
25,IN 7AM,Carmona,0
25,IN 7AM,Balibago,0
25,IN 7AM,Tagapo,0
25,IN 7AM,Cabuyao,0
25,IN 7AM,Calamba,0
25,OUT 7AM,Alabang,0
25,OUT 7AM,Binan,0
25,OUT 7AM,Carmona,0
25,OUT 7AM,Balibago,0
25,OUT 7AM,Tagapo,0
25,OUT 7AM,Cabuyao,0
25,OUT 7AM,Calamba,0
25,OUT 4PM,Alabang,0
25,OUT 4PM,Binan,0
25,OUT 4PM,Carmona,0
25,OUT 4PM,Balibago,0
25,OUT 4PM,Tagapo,0
25,OUT 4PM,Cabuyao,0
25,OUT 4PM,Calamba,0
25,OUT 6PM,Alabang,0
25,OUT 6PM,Binan,0
25,OUT 6PM,Carmona,0
25,OUT 6PM,Balibago,0
25,OUT 6PM,Tagapo,0
25,OUT 6PM,Cabuyao,0
25,OUT 6PM,Calamba,0
25,IN 7PM,Alabang,0
25,IN 7PM,Binan,0
25,IN 7PM,Carmona,0
25,IN 7PM,Balibago,0
25,IN 7PM,Tagapo,0
25,IN 7PM,Cabuyao,0
25,IN 7PM,Calamba,0
25,OUT 7PM,Alabang,0
25,OUT 7PM,Binan,0
25,OUT 7PM,Carmona,0
25,OUT 7PM,Balibago,0
25,OUT 7PM,Tagapo,0
25,OUT 7PM,Cabuyao,0
25,OUT 7PM,Calamba,0
25,IN 10PM,Alabang,0
25,IN 10PM,Binan,0
25,IN 10PM,Carmona,0
25,IN 10PM,Balibago,0
25,IN 10PM,Tagapo,0
25,IN 10PM,Cabuyao,0
25,IN 10PM,Calamba,0
26,OUT 4AM,Alabang,0
26,OUT 4AM,Binan,0
26,OUT 4AM,Carmona,0
26,OUT 4AM,Balibago,0
26,OUT 4AM,Tagapo,0
26,OUT 4AM,Cabuyao,0
26,OUT 4AM,Calamba,0
26,IN 7AM,Alabang,0
26,IN 7AM,Binan,0
26,IN 7AM,Carmona,0
26,IN 7AM,Balibago,0
26,IN 7AM,Tagapo,0
26,IN 7AM,Cabuyao,0
26,IN 7AM,Calamba,0
26,OUT 7AM,Alabang,0
26,OUT 7AM,Binan,0
26,OUT 7AM,Carmona,0
26,OUT 7AM,Balibago,0
26,OUT 7AM,Tagapo,0
26,OUT 7AM,Cabuyao,0
26,OUT 7AM,Calamba,0
26,OUT 4PM,Alabang,0
26,OUT 4PM,Binan,0
26,OUT 4PM,Carmona,0
26,OUT 4PM,Balibago,0
26,OUT 4PM,Tagapo,0
26,OUT 4PM,Cabuyao,0
26,OUT 4PM,Calamba,0
26,OUT 6PM,Alabang,0
26,OUT 6PM,Binan,0
26,OUT 6PM,Carmona,0
26,OUT 6PM,Balibago,0
