DATE,SHIFT,ROUTE,TOTAL
16,OUT 4AM,Alabang,0
16,OUT 4AM,Binan,0
16,OUT 4AM,Carmona,0
16,OUT 4AM,Balibago,0
16,OUT 4AM,Tagapo,0
16,OUT 4AM,Cabuyao,0
16,OUT 4AM,Calamba,0
16,IN 7AM,Alabang,30
16,IN 7AM,Binan,101
16,IN 7AM,Carmona,49
16,IN 7AM,Balibago,330
16,IN 7AM,Tagapo,0
16,IN 7AM,Cabuyao,80
16,IN 7AM,Calamba,127
16,OUT 7AM,Alabang,10
16,OUT 7AM,Binan,27
16,OUT 7AM,Carmona,11
16,OUT 7AM,Balibago,122
16,OUT 7AM,Tagapo,0
16,OUT 7AM,Cabuyao,31
16,OUT 7AM,Calamba,38
16,OUT 4PM,Alabang,14
16,OUT 4PM,Binan,35
16,OUT 4PM,Carmona,21
16,OUT 4PM,Balibago,145
16,OUT 4PM,Tagapo,0
16,OUT 4PM,Cabuyao,36
16,OUT 4PM,Calamba,75
16,OUT 6PM,Alabang,0
16,OUT 6PM,Binan,0
16,OUT 6PM,Carmona,0
16,OUT 6PM,Balibago,0
16,OUT 6PM,Tagapo,0
16,OUT 6PM,Cabuyao,0
16,OUT 6PM,Calamba,0
16,IN 7PM,Alabang,12
16,IN 7PM,Binan,26
16,IN 7PM,Carmona,11
16,IN 7PM,Balibago,116
16,IN 7PM,Tagapo,0
16,IN 7PM,Cabuyao,28
16,IN 7PM,Calamba,37
16,OUT 7PM,Alabang,18
16,OUT 7PM,Binan,52
16,OUT 7PM,Carmona,24
16,OUT 7PM,Balibago,181
16,OUT 7PM,Tagapo,0
16,OUT 7PM,Cabuyao,38
16,OUT 7PM,Calamba,50
16,IN 10PM,Alabang,0
16,IN 10PM,Binan,0
16,IN 10PM,Carmona,0
16,IN 10PM,Balibago,0
16,IN 10PM,Tagapo,0
16,IN 10PM,Cabuyao,0
16,IN 10PM,Calamba,0
17,OUT 4AM,Alabang,0
17,OUT 4AM,Binan,0
17,OUT 4AM,Carmona,0
17,OUT 4AM,Balibago,0
17,OUT 4AM,Tagapo,0
17,OUT 4AM,Cabuyao,0
17,OUT 4AM,Calamba,0
17,IN 7AM,Alabang,23
17,IN 7AM,Binan,68
17,IN 7AM,Carmona,40
17,IN 7AM,Balibago,240
17,IN 7AM,Tagapo,0
17,IN 7AM,Cabuyao,48
17,IN 7AM,Calamba,78
17,OUT 7AM,Alabang,12
17,OUT 7AM,Binan,26
17,OUT 7AM,Carmona,11
17,OUT 7AM,Balibago,116
17,OUT 7AM,Tagapo,0
17,OUT 7AM,Cabuyao,28
17,OUT 7AM,Calamba,37
17,OUT 4PM,Alabang,8
17,OUT 4PM,Binan,12
17,OUT 4PM,Carmona,5
17,OUT 4PM,Balibago,37
17,OUT 4PM,Tagapo,0
17,OUT 4PM,Cabuyao,7
17,OUT 4PM,Calamba,15
17,OUT 6PM,Alabang,0
17,OUT 6PM,Binan,0
17,OUT 6PM,Carmona,0
17,OUT 6PM,Balibago,0
17,OUT 6PM,Tagapo,0
17,OUT 6PM,Cabuyao,0
17,OUT 6PM,Calamba,0
17,IN 7PM,Alabang,7
17,IN 7PM,Binan,22
17,IN 7PM,Carmona,6
17,IN 7PM,Balibago,88
17,IN 7PM,Tagapo,0
17,IN 7PM,Cabuyao,19
17,IN 7PM,Calamba,26
17,OUT 7PM,Alabang,9
17,OUT 7PM,Binan,39
17,OUT 7PM,Carmona,22
17,OUT 7PM,Balibago,127
17,OUT 7PM,Tagapo,0
17,OUT 7PM,Cabuyao,23
17,OUT 7PM,Calamba,34
17,IN 10PM,Alabang,0
17,IN 10PM,Binan,0
17,IN 10PM,Carmona,0
