DATE,SHIFT,ROUTE,TOTAL
19,OUT 7AM,Cabuyao,10
19,OUT 7AM,Calamba,77
19,OUT 4PM,Alabang,141
19,OUT 4PM,Binan,0
19,OUT 4PM,Carmona,0
19,OUT 4PM,Balibago,25
19,OUT 4PM,Tagapo,21
19,OUT 4PM,Cabuyao,10
19,OUT 4PM,Calamba,47
19,OUT 6PM,Alabang,169
19,OUT 6PM,Binan,0
19,OUT 6PM,Carmona,0
19,OUT 6PM,Balibago,12
19,OUT 6PM,Tagapo,30
19,OUT 6PM,Cabuyao,10
19,OUT 6PM,Calamba,117
19,IN 7PM,Alabang,234
19,IN 7PM,Binan,0
19,IN 7PM,Carmona,0
19,IN 7PM,Balibago,18
19,IN 7PM,Tagapo,43
19,IN 7PM,Cabuyao,32
19,IN 7PM,Calamba,185
19,OUT 7PM,Alabang,367
19,OUT 7PM,Binan,0
19,OUT 7PM,Carmona,0
19,OUT 7PM,Balibago,0
19,OUT 7PM,Tagapo,0
19,OUT 7PM,Cabuyao,0
19,OUT 7PM,Calamba,0
19,IN 10PM,Alabang,0
19,IN 10PM,Binan,0
19,IN 10PM,Carmona,0
19,IN 10PM,Balibago,42
19,IN 10PM,Tagapo,131
19,IN 10PM,Cabuyao,59
19,IN 10PM,Calamba,447
20,OUT 4AM,Alabang,0
20,OUT 4AM,Binan,0
20,OUT 4AM,Carmona,0
20,OUT 4AM,Balibago,30
20,OUT 4AM,Tagapo,101
20,OUT 4AM,Cabuyao,49
20,OUT 4AM,Calamba,330
20,IN 7AM,Alabang,717
20,IN 7AM,Binan,0
20,IN 7AM,Carmona,0
20,IN 7AM,Balibago,12
20,IN 7AM,Tagapo,30
20,IN 7AM,Cabuyao,10
20,IN 7AM,Calamba,117
20,OUT 7AM,Alabang,234
20,OUT 7AM,Binan,0
20,OUT 7AM,Carmona,0
20,OUT 7AM,Balibago,3
20,OUT 7AM,Tagapo,22
20,OUT 7AM,Cabuyao,9
20,OUT 7AM,Calamba,74
20,OUT 4PM,Alabang,138
20,OUT 4PM,Binan,0
20,OUT 4PM,Carmona,0
20,OUT 4PM,Balibago,11
20,OUT 4PM,Tagapo,23
20,OUT 4PM,Cabuyao,6
20,OUT 4PM,Calamba,46
20,OUT 6PM,Alabang,154
20,OUT 6PM,Binan,0
20,OUT 6PM,Carmona,0
20,OUT 6PM,Balibago,12
20,OUT 6PM,Tagapo,29
20,OUT 6PM,Cabuyao,10
20,OUT 6PM,Calamba,118
20,IN 7PM,Alabang,233
20,IN 7PM,Binan,0
20,IN 7PM,Carmona,0
20,IN 7PM,Balibago,17
20,IN 7PM,Tagapo,52
20,IN 7PM,Cabuyao,44
20,IN 7PM,Calamba,193
20,OUT 7PM,Alabang,395
20,OUT 7PM,Binan,0
20,OUT 7PM,Carmona,0
20,OUT 7PM,Balibago,0
20,OUT 7PM,Tagapo,0
20,OUT 7PM,Cabuyao,0
20,OUT 7PM,Calamba,0
20,IN 10PM,Alabang,0
20,IN 10PM,Binan,0
20,IN 10PM,Carmona,0
20,IN 10PM,Balibago,42
20,IN 10PM,Tagapo,130
20,IN 10PM,Cabuyao,59
20,IN 10PM,Calamba,448
21,OUT 4AM,Alabang,0
21,OUT 4AM,Binan,0
21,OUT 4AM,Carmona,0
21,OUT 4AM,Balibago,30
21,OUT 4AM,Tagapo,101
21,OUT 4AM,Cabuyao,48
21,OUT 4AM,Calamba,324
21,IN 7AM,Alabang,709
21,IN 7AM,Binan,0
21,IN 7AM,Carmona,0
21,IN 7AM,Balibago,12
21,IN 7AM,Tagapo,29
21,IN 7AM,Cabuyao,10
21,IN 7AM,Calamba,118
21,OUT 7AM,Alabang,233
21,OUT 7AM,Binan,0
21,OUT 7AM,Carmona,0
21,OUT 7AM,Balibago,3
21,OUT 7AM,Tagapo,22
21,OUT 7AM,Cabuyao,9
21,OUT 7AM,Calamba,74
21,OUT 4PM,Alabang,137
21,OUT 4PM,Binan,0
21,OUT 4PM,Carmona,0
21,OUT 4PM,Balibago,11
21,OUT 4PM,Tagapo,23
21,OUT 4PM,Cabuyao,6
21,OUT 4PM,Calamba,46
21,OUT 6PM,Alabang,154
21,OUT 6PM,Binan,0
21,OUT 6PM,Carmona,0
21,OUT 6PM,Balibago,12
21,OUT 6PM,Tagapo,29
21,OUT 6PM,Cabuyao,10
21,OUT 6PM,Calamba,118
21,IN 7PM,Alabang,233
21,IN 7PM,Binan,0
21,IN 7PM,Carmona,0
21,IN 7PM,Balibago,17
21,IN 7PM,Tagapo,52
21,IN 7PM,Cabuyao,44
21,IN 7PM,Calamba,193
21,OUT 7PM,Alabang,395
21,OUT 7PM,Binan,0
21,OUT 7PM,Carmona,0
21,OUT 7PM,Balibago,0
21,OUT 7PM,Tagapo,0
21,OUT 7PM,Cabuyao,0
21,OUT 7PM,Calamba,0
21,IN 10PM,Alabang,0
21,IN 10PM,Binan,0
21,IN 10PM,Carmona,0
21,IN 10PM,Balibago,42
21,IN 10PM,Tagapo,130
21,IN 10PM,Cabuyao,58
21,IN 10PM,Calamba,442
22,OUT 4AM,Alabang,0
22,OUT 4AM,Binan,0
22,OUT 4AM,Carmona,0
22,OUT 4AM,Balibago,29
22,OUT 4AM,Tagapo,97
22,OUT 4AM,Cabuyao,49
22,OUT 4AM,Calamba,325
22,IN 7AM,Alabang,704
22,IN 7AM,Binan,0
22,IN 7AM,Carmona,0
22,IN 7AM,Balibago,12
22,IN 7AM,Tagapo,29
22,IN 7AM,Cabuyao,10
22,IN 7AM,Calamba,118
22,OUT 7AM,Alabang,233
22,OUT 7AM,Binan,0
22,OUT 7AM,Carmona,0
22,OUT 7AM,Balibago,1
22,OUT 7AM,Tagapo,19
22,OUT 7AM,Cabuyao,6
22,OUT 7AM,Calamba,65
